graph,type,path,n,arcs,edges,directed,step,name,formula,bits,bits per edge,redundancy,saved vs previous (%),saved vs (0) (%),saved vs (2) (%),H part,stored arcs,tree edges,components
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),74.0,5.285714285714286,,,0.0,,0.0,14.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 42, ""14 x 3""], [""n*ceil(lg m) - one offset per vertex"", 32, ""8 x 4""]]"
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",60.28667506966089,4.306191076404349,o(m),18.53152017613393,18.53152017613393,,0.0,14.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 42, ""14 x 3""], [""lg C(n+m, n) - the separator bitvector"", 18.28667506966089, ""C(22, 8)""]]"
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",53.225116001867065,3.801794000133362,o(m),11.713299928440623,28.074167565044505,,34.93844093220618,14.0,0.0,"[[""H(G) - in-degree entropy of the string"", 34.93844093220618, ""sum d lg(m/d) over 14 arcs""], [""lg C(n+m, n) - the separator bitvector"", 18.28667506966089, """"]]"
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",46.30320888751129,3.307372063393664,o(m) + o(n),13.004963886058915,37.42809609795772,,9.651484454403228,7.0,7.0,"[[""H(G-T) - entropy of what is left"", 9.651484454403228, ""7 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 12.651724433108065, """"], [""3n - LOUDS, plus n for D"", 24, ""3 x 8""]]"
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",54.30320888751129,3.878800634822235,o(m) + o(n),-17.27742027433812,26.617285287146903,-2.025534121158912,17.651484454403228,7.0,7.0,"[[""H(G-T) - entropy of what is left"", 17.651484454403228, ""7 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 12.651724433108065, """"], [""3n - LOUDS, plus n for D"", 24, ""3 x 8""]]"
fig2-example,directed,Datasets/fig2-example.txt,8,14,14,True,4,"Twin removal, then TREX",no twins in this graph,,,,,,,,,,[]
oregon1_010331,undirected,Datasets/TestSet/Undirected/oregon1_010331.txt,10670,44004,22002,False,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),786776.0,35.75929460958095,,,0.0,,0.0,44004.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 616056, ""44004 x 14""], [""n*ceil(lg m) - one offset per vertex"", 170720, ""10670 x 16""]]"
oregon1_010331,undirected,Datasets/TestSet/Undirected/oregon1_010331.txt,10670,44004,22002,False,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",654983.4193821853,29.76926731125285,o(m),16.750966045966663,16.750966045966663,,0.0,44004.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 616056, ""44004 x 14""], [""lg C(n+m, n) - the separator bitvector"", 38927.41938218536, ""C(54674, 10670)""]]"
oregon1_010331,undirected,Datasets/TestSet/Undirected/oregon1_010331.txt,10670,44004,22002,False,1u,Wavelet tree: each edge stored once,"m'*ceil(lg n) + lg C(n+m', n),  m' = |E|",337797.30917106493,15.353027414374372,o(m),48.42658620432056,57.06563123798071,,0.0,22002.0,0.0,"[[""m'*ceil(lg n) - each edge stored once"", 308028, ""22002 x 14""], [""lg C(n+m', n)"", 29769.309171064917, ""C(32672, 10670)""]]"
oregon1_010331,undirected,Datasets/TestSet/Undirected/oregon1_010331.txt,10670,44004,22002,False,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",198933.2864871411,9.041600149401924,o(m),41.10868231149861,74.71538449480651,,169163.9773160762,22002.0,0.0,"[[""H(G) - in-degree entropy of the string"", 169163.9773160762, ""sum d lg(m/d) over 22002 arcs""], [""lg C(n+m, n) - the separator bitvector"", 29769.309171064917, """"]]"
oregon1_010331,undirected,Datasets/TestSet/Undirected/oregon1_010331.txt,10670,44004,22002,False,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",110419.17447540992,5.018597149141438,o(m) + o(n),44.49436973306761,85.96561480327185,,67098.12532591037,11333.0,10669.0,"[[""H(G-T) - entropy of what is left"", 67098.12532591037, ""11333 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 21981.049149499548, """"], [""2n - LOUDS"", 21340, ""2 x 10670""]]"
