,Dataset,n,m,type,indegree entropy,indegree entropy greedy,array total bits,bitvector total bits,bitvector greedy total bits,total bits trex,trex entropy,total bits planar,planar edges
0,Amazon0302.txt,262111,1234877,directed,21568082.67306736,-1,27732117,22569890.034615494,-1,18125470.410728704,16418207.58990848,16380746.075990045,373607
0,Cit-HepPh.txt,34546,421578,directed,5742618.878141321,-1,7401622,5919121.579356101,-1,5424499.836259455,5148440.249829379,5240334.45037303,49075
0,Slashdot0811.txt,77360,905468,directed,13134826.587526157,-1,16940156,13525612.42731164,-1,12319424.559387118,11706105.519640436,12225899.557716731,85991
0,wikilink_graph.2005-03-01_edgelist.txt,244112,3659390,directed,53575092.89673463,-1,71239484,54892254.22771952,-1,50614790.15384837,48588799.19666416,49563312.965316616,317640
0,Wiki-Vote.txt,7115,103689,directed,1106017.0527285289,-1,1468912,1144119.8308026246,-1,1079471.9490172511,1020726.6153852198,1066991.1488518203,8557
0,fig2-example.txt,8,14,directed,34.938440932206184,-1,74,53.22511600186708,-1,46.303208887511296,9.65148445440323,41.68728471496697,10
0,graph_A_skewed.txt,1000,2997,directed,14702.50914158626,-1,41970,17940.274914375048,-1,7757.107350991942,2009.40631359804,11891.054863287685,1498
0,graph_B_uniform.txt,1000,2997,directed,4750.132614661305,-1,41970,7987.898387450094,-1,7766.513664589984,2018.8126271960803,7846.934776854263,1001
0,G_barabasi_albert.txt,40000,559804,undirected,-1,7699942.506289395,18753728,16874282.29056074,7911929.675187924,7313518.079125664,7025657.744570545,7261086.80631728,47462
0,G_bipartite.txt,2000,1000000,undirected,-1,9967226.2581151,22042000,21954380.162210897,9988039.292975547,9969229.41736527,9944422.150397671,9969413.41736527,1999
0,G_erdos_renyi.txt,20000,999036,undirected,-1,13900062.36925331,30391080,28695456.68957855,14042044.019162351,13783429.149263015,13602025.14333598,13647008.069921808,29911
0,celegansneural.txt,297,2345,directed,17593.594083726544,-1,24669,18928.155954370424,-1,16931.528859794307,14760.174163036498,16139.409963102307,421
0,email-Eu-core.txt,1005,25571,directed,236498.74655093893,-1,270785,242663.084186197,-1,233027.95386689887,223904.45815802657,229664.04837150167,1399
0,p2p-Gnutella24.txt,26518,65369,directed,927098.218379763,-1,1404823,1006746.4077888074,-1,644527.6198299028,501293.2202743098,640706.9507492981,27219
0,CA-AstroPh.txt,18772,198110,undirected,-1,2432467.2448473526,6299968,5349712.79156611,2524603.726029619,2275421.8987721037,2148269.839767716,2155391.424603405,26764
0,facebook_combined.txt,4039,88234,undirected,-1,925868.5737313487,2190318,2012397.4254192302,949790.295216433,903115.188714629,871382.230202998,879636.1538451355,5962
0,oregon1_010331.txt,10670,22002,undirected,-1,169163.97731608036,786776,526812.588953235,198933.28648714526,110419.17447540983,67098.12532591024,108269.1125034877,11281
0,power-US-Grid.txt,4941,6594,undirected,-1,72114.26627342764,240618,173627.58018676136,83470.746216995,29803.3493228329,14569.128519909274,26179.04686421368,5295
0,bio-grid-yeast.txt,6008,156945,undirected,-1,1634238.024941955,4194722,3678475.5345338406,1671343.0289006059,1598684.053166744,1549894.8809638137,1575316.0905843154,8272
0,large_twitch_edges.txt,168114,6797557,undirected,-1,93559097.05587737,248746788,214985050.3673036,94701908.28032567,91697740.04691255,90224699.71494217,90769712.56009424,228951
0,roadNet-PA.txt,1088092,1541899,undirected,-1,29810068.99237979,88697782,64965748.46283822,32383280.39899046,11658314.101574933,8133798.706295698,10479570.356580421,1149845
